Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
229,13,0.2,,zero,0.3,60.002622298,0.24898392518598983,0.24992321673449489,323,191,335,435,782,137,356
230,13,0.2,,zero,0.5,60.052005305,0.2516060084470161,0.24817953903293832,197,298,559,306,558,240,253
231,13,0.2,,zero,0.7,60.362744221,0.25367742792228704,0.2448442411199982,139,406,782,194,335,352,141
232,13,0.2,,mean,0.3,60.025364305,0.25960521710972473,0.2867918129796828,327,170,335,331,782,157,336
233,13,0.2,,mean,0.5,60.301749539,0.2452331993145906,0.2533876184716879,195,319,559,320,558,249,244
234,13,0.2,,mean,0.7,60.371216075,0.2539886205158436,0.2678813242309031,140,423,782,193,335,348,145
235,13,0.3,,zero,0.3,60.07324929,0.26681297824309785,0.2923102500108633,324,188,335,439,782,148,345
236,13,0.3,,zero,0.5,60.03149734,0.2547880072542751,0.27571785890689005,194,295,559,244,558,248,245
237,13,0.3,,zero,0.7,60.055476841,0.2536168230785439,0.24460359204219284,139,426,782,189,335,343,150
238,13,0.3,,mean,0.3,60.031618086,0.267472894069759,0.30206870548891024,325,179,335,345,782,148,345
239,13,0.3,,mean,0.5,60.12392276,0.2572358825640969,0.29538296379659096,196,300,559,242,558,250,243
240,13,0.3,,mean,0.7,60.011765563,0.2631536976126022,0.27885010140383026,138,398,782,184,335,342,151
241,14,0.01,,zero,0.3,60.196976169,0.24978574552000293,0.24614724161723625,304,178,335,446,782,157,336
242,14,0.01,,zero,0.5,60.053196814,0.24773687409187406,0.2461053871825187,182,308,559,316,558,251,242
243,14,0.01,,zero,0.7,60.27571129,0.24795774884620836,0.245178215987473,129,423,782,207,335,363,130
244,14,0.01,,mean,0.3,60.117638377,0.24085231213029545,0.25139754539984993,300,201,335,424,782,134,359
245,14,0.01,,mean,0.5,60.177833403,0.24624227867979245,0.24632388090472807,181,317,559,312,558,243,250
246,14,0.01,,mean,0.7,60.285297367,0.24739031084207888,0.2501200773932626,129,441,782,179,335,336,157
247,14,0.05,,zero,0.3,60.018868967,0.25174732823432144,0.2538025137687485,304,173,335,333,782,159,334
248,14,0.05,,zero,0.5,60.097487376,0.2517416369771948,0.248368566836362,182,296,559,329,558,264,229
