Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
117,9,0.3,adasyn,zero,0.7,60.163655338,0.26031132196298123,0.24836099969219785,311,356,669,146,286,347,146
118,9,0.3,adasyn,mean,0.3,60.002132886,0.2598917227539179,0.25326159740888277,690,162,303,336,706,157,336
119,9,0.3,adasyn,mean,0.5,60.133785243,0.2572157105963596,0.2559266782576435,382,257,505,252,504,241,252
120,9,0.3,adasyn,mean,0.7,60.191097347,0.2616388668897173,0.26250164961460637,281,339,706,151,303,341,152
121,10,0.01,adasyn,zero,0.3,60.034164102,0.24755419772204088,0.2497035074397166,629,156,287,320,668,134,359
122,10,0.01,adasyn,zero,0.5,60.076658309,0.25063808841037205,0.25071407723337114,373,236,478,248,477,244,249
123,10,0.01,adasyn,zero,0.7,60.214099492,0.2505249230827358,0.24832449812641477,282,322,669,155,286,338,155
124,10,0.01,adasyn,mean,0.3,60.056959897,0.25311274498502273,0.2498680287760092,624,153,303,361,706,146,347
125,10,0.01,adasyn,mean,0.5,60.124728446,0.25037108097482697,0.24998775433905548,371,260,505,256,504,245,248
126,10,0.01,adasyn,mean,0.7,60.037350705,0.5084985102998872,0.518151740195812,261,347,706,146,303,347,146
127,10,0.05,adasyn,zero,0.3,60.080132546,0.25136173271782614,0.24965606544368737,670,138,287,341,668,152,341
128,10,0.05,adasyn,zero,0.5,60.157183501,0.25210793268875825,0.2510150914774106,397,229,478,219,477,235,258
129,10,0.05,adasyn,zero,0.7,60.116966329,0.2503673733634554,0.2503083668440964,276,340,669,145,286,352,141
130,10,0.05,adasyn,mean,0.3,60.059135249,0.2509168273283475,0.2538858174458156,592,150,303,346,706,147,346
131,10,0.05,adasyn,mean,0.5,60.158782706,0.25217467675511307,0.2499463809807897,349,245,505,257,504,246,247
132,10,0.05,adasyn,mean,0.7,60.100116401,0.25249042441338687,0.2519392374669129,248,341,706,146,303,344,149
133,10,0.1,adasyn,zero,0.3,60.060252022,0.2561587712042825,0.25233716053691796,643,117,287,347,668,146,347
134,10,0.1,adasyn,zero,0.5,60.121261873,0.25781055789409946,0.25225659348348023,393,223,478,250,477,243,250
135,10,0.1,adasyn,zero,0.7,60.18555628,0.2540603342636033,0.2468941395830255,277,340,669,159,286,334,159
136,10,0.1,adasyn,mean,0.3,60.083143378,0.25619166675010396,0.25501112154723765,619,128,303,342,706,151,342
137,10,0.1,adasyn,mean,0.5,60.147353602,0.2576505169159667,0.24808239814174224,356,249,505,274,504,262,231
138,10,0.1,adasyn,mean,0.7,60.214036199,0.2499888955623254,0.25676425716465606,250,360,706,138,303,355,138
139,10,0.2,adasyn,zero,0.3,60.079649147,0.2601497607055132,0.25613797649892955,655,145,287,341,668,151,342
140,10,0.2,adasyn,zero,0.5,60.13145556,0.25446413469787155,0.24836364043721346,383,247,478,247,477,260,233
141,10,0.2,adasyn,zero,0.7,60.210336183,0.2572038857215021,0.26090940667622553,274,329,669,146,286,347,146
142,10,0.2,adasyn,mean,0.3,60.099055548,0.25651569248885575,0.2655461116830974,613,155,303,346,706,146,347
143,10,0.2,adasyn,mean,0.5,60.110605123,0.2536685651198596,0.24928936209733407,359,265,505,260,504,233,260
144,10,0.2,adasyn,mean,0.7,60.023312113,0.2566733082268014,0.25150458421380134,250,367,706,165,303,355,138
145,10,0.3,adasyn,zero,0.3,60.021653799,0.2596806533609942,0.24996647302344155,656,142,287,340,668,153,340
146,10,0.3,adasyn,zero,0.5,60.035424093,0.2712849408800395,0.2483504520595237,388,220,478,250,477,243,250
147,10,0.3,adasyn,zero,0.7,60.097079681,0.2643546000164575,0.24997001475827355,274,316,669,151,286,342,151
148,10,0.3,adasyn,mean,0.3,60.027283511,0.25503970278938365,0.2526918258450711,601,143,303,337,706,156,337
149,10,0.3,adasyn,mean,0.5,60.059808368,0.2615355955280781,0.2637309522989516,367,248,505,244,504,249,244
150,10,0.3,adasyn,mean,0.7,60.137244651,0.260134922075923,0.25201854964620923,263,340,706,171,303,361,132
151,11,0.01,adasyn,zero,0.3,60.014359022,0.24773067763352938,0.2504015612947946,609,153,287,321,668,137,356
152,11,0.01,adasyn,zero,0.5,60.087918801,0.2498145741981956,0.248430175339318,365,233,478,247,477,246,247
153,11,0.01,adasyn,zero,0.7,60.000752719,0.2507000364718324,0.2493396673646695,258,330,669,152,286,341,152
154,11,0.01,adasyn,mean,0.3,60.103252007,0.24951876052399752,0.25174846000391604,569,162,303,331,706,162,331
155,11,0.01,adasyn,mean,0.5,60.081498941,0.24897256308809865,0.2539697378194909,333,273,505,244,504,233,260
156,11,0.01,adasyn,mean,0.7,60.065634769,0.24863943612900086,0.24952031486650172,238,347,706,141,303,352,141
157,11,0.05,adasyn,zero,0.3,60.074299183,0.25094887750728767,0.2517848143330927,610,136,287,323,668,148,345
158,11,0.05,adasyn,zero,0.5,60.024448125,0.2498324005859203,0.25068836836824354,355,254,478,236,477,257,236
159,11,0.05,adasyn,zero,0.7,60.00423,0.25149640641491705,0.25248214640238453,248,349,669,139,286,353,140
160,11,0.05,adasyn,mean,0.3,60.095056722,0.24910798957837516,0.2603031546315256,554,162,303,350,706,137,356
161,11,0.05,adasyn,mean,0.5,60.178085622,0.2526991581544122,0.25204810641668607,335,243,505,248,504,244,249
162,11,0.05,adasyn,mean,0.7,60.122088825,0.25076397322388544,0.25832348156140444,243,363,706,141,303,352,141
163,11,0.1,adasyn,zero,0.3,60.08207559,0.5226366056848833,0.5133826594976011,614,137,287,325,668,150,343
164,11,0.1,adasyn,zero,0.5,60.061809216,0.25482464142749184,0.25636057868967044,363,241,478,237,477,253,240
165,11,0.1,adasyn,zero,0.7,60.230744803,0.25149375566516163,0.2500216391029394,252,332,669,142,286,351,142
166,11,0.1,adasyn,mean,0.3,60.039719875,0.24529640528854993,0.2521492953404352,503,156,303,359,706,143,350
