Configuración,Neuronas ocultas,tasa de aprendizaje,unbalanced data,missing data,split ration,Tiempo de entrenamiento,Error sobre entrenamiento,Error sobre prueba,Numero de iteraciones,Correctos en entrenamiento,Tamaño entrenamiento,Correctos en prueba,Tamaño prueba,positivos en entrenamiento,positivos en prueba
161,11,0.05,,mean,0.5,60.074707388,0.14947973597438602,0.18403750375739347,597,255,312,238,312,255,238
162,11,0.05,,mean,0.7,60.036147556,0.16902541038137292,0.16089036391411285,436,343,437,149,187,343,150
163,11,0.1,,zero,0.3,60.04130895,0.17794808877759405,0.16152321330129615,1020,144,187,349,437,144,349
164,11,0.1,,zero,0.5,60.04674897,0.16721337871550426,0.16674476751754408,613,246,312,247,312,246,247
165,11,0.1,,zero,0.7,60.059247319,0.16959172780903517,0.1650941028303711,432,344,437,149,187,344,149
166,11,0.1,,mean,0.3,60.051369062,0.18102334915986346,0.16532582747512958,1010,144,187,349,437,144,349
167,11,0.1,,mean,0.5,60.01166737,0.17477491943930423,0.15836820908871252,597,242,312,251,312,242,251
168,11,0.1,,mean,0.7,60.029158166,0.17290937373146587,0.16525413825877147,416,341,437,152,187,341,152
169,11,0.2,,zero,0.3,60.004977046,0.15429502994985714,0.17273467997818523,1015,152,187,341,437,152,341
170,11,0.2,,zero,0.5,60.00162428,0.17723745209175534,0.1605662134091735,595,243,312,250,312,243,250
171,11,0.2,,zero,0.7,60.101912837,0.1762286077237479,0.14874574319574319,428,340,437,153,187,340,153
172,11,0.2,,mean,0.3,60.058266798,0.16885277278926117,0.16686201621075505,1008,148,187,345,437,148,345
173,11,0.2,,mean,0.5,60.051519298,0.15762867959847343,0.17893070809252623,601,252,312,240,312,252,241
174,11,0.2,,mean,0.7,60.078245973,0.16351816925082713,0.18598059352131396,424,350,437,143,187,350,143
175,11,0.3,,zero,0.3,60.03582366,0.1589001278394219,0.17013780289324806,1019,151,187,342,437,151,342
176,11,0.3,,zero,0.5,60.0090053,0.17743193237116323,0.15692073705997595,603,242,312,251,312,242,251
